Date,Close/Last,Volume,Open,High,Low
11/23/2022,$29.40,605083,$29.55,$29.95,$29.07
11/22/2022,$29.55,1091342,$30.10,$30.10,$28.81
11/21/2022,$29.84,601198,$30.55,$30.6991,$29.57
11/18/2022,$30.72,574710,$31.26,$31.26,$30.54
11/17/2022,$30.57,728496,$31.05,$31.34,$30.14
11/16/2022,$31.67,896229,$33.60,$33.76,$31.355
11/15/2022,$33.66,962495,$34.37,$34.77,$32.95
11/14/2022,$33.07,861524,$34.30,$34.62,$33.01
11/11/2022,$34.49,1138187,$34.75,$35.495,$33.64
11/10/2022,$34.73,1553404,$32.30,$35.11,$32.00
11/09/2022,$30.46,1607380,$33.10,$33.39,$29.4301
11/08/2022,$33.30,2012863,$34.65,$35.71,$32.94
11/07/2022,$34.31,987575,$34.27,$35.71,$34.22
11/04/2022,$33.96,848835,$34.46,$35.565,$33.29
11/03/2022,$34.16,456439,$34.05,$35.15,$33.63
11/02/2022,$34.61,848001,$35.45,$37.07,$34.56
11/01/2022,$35.52,521005,$35.58,$36.19,$35.08
10/31/2022,$34.81,726669,$35.38,$35.505,$34.21
10/28/2022,$35.87,717501,$33.33,$35.95,$33.03
10/27/2022,$33.19,685754,$33.00,$33.77,$32.65
10/26/2022,$32.76,580982,$32.52,$33.70,$32.18
10/25/2022,$32.56,649125,$31.49,$32.8957,$31.49
10/24/2022,$31.32,789277,$33.29,$33.53,$30.12
10/21/2022,$33.39,599156,$32.64,$33.51,$31.8546
10/20/2022,$32.61,605501,$32.28,$33.43,$32.2113
10/19/2022,$32.38,1000126,$34.40,$34.58,$31.88
10/18/2022,$35.09,775438,$34.79,$35.09,$33.51
10/17/2022,$33.99,802529,$32.74,$34.26,$32.60
10/14/2022,$32.02,585409,$32.78,$33.07,$31.83
10/13/2022,$32.32,746767,$30.75,$32.73,$30.39
10/12/2022,$32.00,622426,$31.42,$32.07,$30.75
10/11/2022,$31.25,719447,$30.54,$31.98,$30.02
10/10/2022,$30.49,585751,$31.53,$31.74,$30.3475
10/07/2022,$31.62,703088,$33.18,$33.2178,$31.52
10/06/2022,$33.57,703524,$34.42,$34.78,$33.18
10/05/2022,$34.46,720852,$34.10,$34.75,$33.60
10/04/2022,$34.91,969800,$34.31,$35.24,$34.21
10/03/2022,$33.74,821805,$33.34,$35.16,$32.74
09/30/2022,$33.05,972212,$33.20,$35.12,$32.99
09/29/2022,$33.28,898033,$33.49,$33.735,$32.43
09/28/2022,$33.96,1091793,$31.86,$34.175,$31.85
09/27/2022,$31.20,1049723,$30.30,$31.34,$30.04
09/26/2022,$29.63,798386,$30.86,$31.88,$29.60
